LAST SEEN   TYPE      REASON                         OBJECT                                                   MESSAGE
48m         Normal    Scheduled                      pod/merchant-catalog-service-65bd4fcf56-8b7vs            Successfully assigned aituan/merchant-catalog-service-65bd4fcf56-8b7vs to izj6c1l84z55xbo85st14pz
48m         Normal    Scheduled                      pod/engagement-platform-service-b6f9bd8c9-mmpz7          Successfully assigned aituan/engagement-platform-service-b6f9bd8c9-mmpz7 to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/version-identity-asset-service-33625864450-1         Successfully assigned aituan/version-identity-asset-service-33625864450-1 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-mh6bz                         Successfully assigned aituan/api-gateway-7ddddc4f8f-mh6bz to izj6c1l84z55xbo85st14pz
16m         Normal    Scheduled                      pod/version-identity-asset-service-33627149918-1         Successfully assigned aituan/version-identity-asset-service-33627149918-1 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/version-merchant-catalog-service-33624446793-1       Successfully assigned aituan/version-merchant-catalog-service-33624446793-1 to izj6c1l84z55xbo85st14pz
52m         Normal    Scheduled                      pod/api-gateway-6b89d8fb99-dm4r5                         Successfully assigned aituan/api-gateway-6b89d8fb99-dm4r5 to izj6c1l84z55xbo85st14pz
9m33s       Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-ldmqm                         Successfully assigned aituan/api-gateway-7ddddc4f8f-ldmqm to izj6c1l84z55xbo85st14pz
45m         Normal    Scheduled                      pod/engagement-platform-service-b6f9bd8c9-vdf7d          Successfully assigned aituan/engagement-platform-service-b6f9bd8c9-vdf7d to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/version-merchant-catalog-service-33625864450-1       Successfully assigned aituan/version-merchant-catalog-service-33625864450-1 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/version-merchant-catalog-service-33627149918-1       Successfully assigned aituan/version-merchant-catalog-service-33627149918-1 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-8jmc2                         Successfully assigned aituan/api-gateway-7ddddc4f8f-8jmc2 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/version-trade-fulfillment-service-33624446793-1      Successfully assigned aituan/version-trade-fulfillment-service-33624446793-1 to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/version-trade-fulfillment-service-33625864450-1      Successfully assigned aituan/version-trade-fulfillment-service-33625864450-1 to izj6c1l84z55xbo85st14pz
9m18s       Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-79wtx                         Successfully assigned aituan/api-gateway-7ddddc4f8f-79wtx to izj6c1l84z55xbo85st14pz
59m         Normal    SuccessfulDelete               replicaset/api-gateway-6b89d8fb99                        Deleted pod: api-gateway-6b89d8fb99-qnwsb
59m         Normal    Killing                        pod/api-gateway-6b89d8fb99-jbljp                         Stopping container api-gateway
59m         Normal    SuccessfulDelete               replicaset/api-gateway-6b89d8fb99                        Deleted pod: api-gateway-6b89d8fb99-jbljp
59m         Normal    Killing                        pod/api-gateway-6b89d8fb99-qnwsb                         Stopping container api-gateway
59m         Normal    ScalingReplicaSet              deployment/api-gateway                                   Scaled down replica set api-gateway-6b89d8fb99 from 4 to 2
